log_fci_size,one_norm,total_pstrings,n_qubits,n_elec,max_vertex_deg,min_vertex_deg,avg_vertex_deg,vertex_deg_std_dev,avg_edge_order,edge_order_std_dev,max_edge_weight,min_edge_weight,avg_edge_weight,edge_weight_std_dev,cisd,mp2,ccsd,ccsdt
15.01318356,56.70529631,3341,16,8,2037,883,1775.25,371.6206904,8.501646214,3.202589912,21.33089387,1.11E-08,0.016972552,0.380051434,TRUE,FALSE,TRUE,TRUE
19.29770667,114.7025003,6937,20,10,4303,1215,3522.6,949.7059756,10.15597521,4.00502846,40.15484362,2.23E-06,0.016534885,0.495159471,TRUE,FALSE,TRUE,TRUE
10.78725509,41.8813756,1501,12,6,1085,443,871,186.9884132,6.963357761,2.51934351,16.05864905,1.00E-08,0.027902316,0.429782028,FALSE,TRUE,TRUE,TRUE
19.29770667,114.114902,7897,20,10,4741,1569,4042.2,956.7433094,10.23730531,3.989781964,43.33633761,2.02E-08,0.014450412,0.500953296,TRUE,FALSE,TRUE,TRUE
19.29770667,133.4980966,2857,20,10,1661,619,1367.4,300.7414837,9.572278614,4.4376174,52.81402912,3.91E-08,0.04672667,1.022001179,FALSE,FALSE,FALSE,FALSE
10.78725509,18.60251349,1329,12,6,867,219,655,238.8737463,5.914221219,2.110246103,6.557759662,1.61E-08,0.013997377,0.185348813,FALSE,FALSE,FALSE,FALSE
10.78725509,32.74287226,769,12,6,497,155,329,143.1642413,5.133940182,1.827119843,12.02172542,7.19E-05,0.042578507,0.450329452,FALSE,TRUE,TRUE,TRUE
23.62006596,205.6864769,10393,24,12,6045,1841,4865,1257.659599,11.23448475,4.993805079,74.28015319,1.03E-08,0.019790867,0.745702541,FALSE,FALSE,FALSE,FALSE
6.66440902,10.89405087,229,8,4,157,83,122.5,30.54095611,4.279475983,1.521481605,4.155477923,9.85E-05,0.047572275,0.287567891,TRUE,TRUE,TRUE,TRUE
23.62006596,182.273332,12917,24,12,7765,1965,6234.833333,1795.072043,11.58442363,4.731165509,62.8240532,9.30E-07,0.01411112,0.565122929,FALSE,FALSE,TRUE,TRUE
16.76412103,149.2301797,4577,16,10,2819,1145,2389.75,538.6923403,8.353943631,3.338018344,56.70372045,1.06E-08,0.032604365,0.881808673,FALSE,FALSE,FALSE,FALSE
15.20380392,158.7422495,1352,14,10,850,398,723.1428571,146.8560311,7.48816568,3.107041374,63.6596532,1.24E-05,0.117412906,1.840033773,FALSE,FALSE,FALSE,FALSE
10.78725509,22.53206713,949,12,6,637,251,530.3333333,125.3882858,6.706006322,2.843100417,8.483098088,5.64E-06,0.023742958,0.285486943,FALSE,FALSE,FALSE,FALSE
10.78725509,42.85324523,2269,12,6,1463,707,1268,272.4279721,6.706037902,2.361820536,16.64601363,8.09E-08,0.018886402,0.365738647,TRUE,TRUE,TRUE,TRUE
22.51658249,289.3231016,5603,20,15,3363,1214,2770.2,632.4431674,9.888274139,4.297147376,120.6744664,1.31E-08,0.051637177,1.675228675,FALSE,FALSE,FALSE,FALSE
23.48759812,355.9678739,2877,20,16,1679,621,1378.8,304.5789881,9.584984359,4.450338933,146.8967845,5.41E-06,0.12372884,2.827134495,FALSE,FALSE,FALSE,FALSE
19.29770667,81.12519431,4805,20,10,2833,787,2136.8,599.7815936,8.894068678,3.674336029,29.77751739,1.29E-08,0.016883495,0.439809009,FALSE,FALSE,FALSE,FALSE
15.01318356,43.35621535,2093,16,8,1281,433,1016.75,251.7318762,7.772575251,3.238544869,16.38700567,3.10E-08,0.020714866,0.368175751,FALSE,FALSE,FALSE,FALSE
27.96888576,201.8213709,71765,28,14,40759,10015,33936.85714,9375.67922,13.24088344,5.504889548,69.08806749,1.03E-08,0.002812253,0.263211047,FALSE,FALSE,FALSE,FALSE
27.96888576,212.890396,59233,28,14,34111,8935,28536.85714,7244.093297,13.4896426,5.58011726,71.90255401,1.00E-08,0.003594118,0.300614903,FALSE,FALSE,FALSE,FALSE
21.13028813,195.9532938,7475,20,12,4665,1494,3721.8,931.4880353,9.957993311,4.03341909,76.43422872,1.61E-07,0.026214487,0.917455298,FALSE,FALSE,FALSE,FALSE
