method,basis,charge,pseudopotential,system,totalenergy,totalenergy-stocherr,totalenergy-syserr,SHCIref,SHCIreferr,HFref,Number-of-determinants,beta,truncation-weight,trial-wavefunction,ncas,ncore,note
AFQMC(MD),vqz,0,trail,VO,-87.2824,0.0011,0.0,-87.288681736,1e-05,-86.40819514293459,1306.0,,0.001,tCASCSF,12.0,5.0,
AFQMC(MD),vqz,1,trail,Cr,-86.5173,0.0011,0.0,-86.51867,1.764e-06,-85.99861621753384,26.0,,0.001,tCASCSF,9.0,1.0,
AFQMC(MD),vtz,1,trail,Cr,-86.4728,0.0011,0.0,-86.47298,2.01e-07,-85.99858355154308,26.0,,0.001,tCASCSF,9.0,1.0,
AFQMC(MD),vdz,1,trail,Cr,-86.3704,0.0007,0.0,-86.37241,4.6e-08,-85.99840800159254,44.0,,0.001,tCASCSF,9.0,1.0,
AFQMC(MD),v5z,0,trail,Cr,-86.7826,0.0012,0.0,-86.78532,0.0,-86.21910985180031,17.0,,0.001,tCASCSF,9.0,1.0,
AFQMC(MD),vqz,0,trail,Cr,-86.7672,0.0012,0.0,-86.76760999999998,0.0,-86.21909581115591,16.0,,0.001,tCASCSF,9.0,1.0,
AFQMC(MD),vtz,0,trail,Cr,-86.7197,0.0012,0.0,-86.72091999999998,4.48e-07,-86.21884242573502,13.0,,0.001,tCASCSF,9.0,1.0,
AFQMC(MD),vdz,0,trail,Cr,-86.6116,0.0009,0.0,-86.61203,1.24e-07,-86.21795636713652,13.0,,0.001,tCASCSF,9.0,1.0,
AFQMC(MD),v5z,1,trail,V,-70.9678,0.0011,0.0,-70.97182,0.0,-70.47890119732277,45.0,,0.001,tCASCSF,15.0,4.0,
AFQMC(MD),v5z,1,trail,Cr,-86.53399999999999,0.0013,0.0,-86.53627,0.0,-85.99871084112391,26.0,,0.001,tCASCSF,9.0,1.0,
AFQMC(MD),vqz,1,trail,V,-70.953,0.001,0.0,-70.95759,8.42e-07,-70.47878254097698,97.0,,0.001,tCASCSF,15.0,4.0,
AFQMC(MD),vdz,1,trail,V,-70.8257,0.0009,0.0,-70.8284,3.2e-08,-70.47804713713508,41.0,,0.001,tCASCSF,15.0,4.0,
AFQMC(MD),v5z,0,trail,V,-71.2155,0.0011,0.0,-71.21983,0.0,-70.69714489237121,30.0,,0.001,tCASCSF,9.0,4.0,
AFQMC(MD),vqz,0,trail,V,-71.2003,0.0011,0.0,-71.20578,1e-05,-70.69711953301085,29.0,,0.001,tCASCSF,9.0,4.0,
AFQMC(MD),vtz,0,trail,V,-71.1647,0.001,0.0,-71.16898,1.017e-06,-70.69687058820543,30.0,,0.001,tCASCSF,9.0,4.0,
AFQMC(MD),vqz,0,trail,TiO,-74.0708,0.0011,0.0,-74.07548786,1e-05,-73.27696889209976,198.0,,0.001,tCASCSF,9.0,5.0,
AFQMC(MD),v5z,1,trail,Ti,-57.7385,0.0009,0.0,-57.74316,0.0,-57.320045716102676,23.0,,0.001,tCASCSF,10.0,4.0,
AFQMC(MD),vqz,1,trail,Ti,-57.728,0.0007,0.0,-57.73256,7.33e-07,-57.319727268097715,21.0,,0.001,tCASCSF,10.0,4.0,
AFQMC(MD),vtz,1,trail,Ti,-57.6995,0.0008,0.0,-57.70424000000001,5.7e-08,-57.318310870851406,21.0,,0.001,tCASCSF,10.0,4.0,
AFQMC(MD),vtz,1,trail,V,-70.916,0.001,0.0,-70.91955,1.62e-07,-70.47870620861032,96.0,,0.001,tCASCSF,15.0,4.0,
AFQMC(MD),vdz,0,trail,Mn,-103.943,0.0008,0.0,-103.94226,4.56e-07,-103.51554736964935,13.0,,0.001,tCASCSF,9.0,4.0,
AFQMC(MD),vtz,0,trail,Mn,-104.0631,0.0011,0.0,-104.06366,9.9e-07,-103.51751723050371,13.0,,0.001,tCASCSF,9.0,4.0,
AFQMC(MD),vqz,0,trail,Mn,-104.1163,0.0011,0.0,-104.11501,3.37e-06,-103.51774137665831,13.0,,0.001,tCASCSF,9.0,4.0,
AFQMC(MD),vtz,1,trail,Cu,-197.1694,0.0011,0.0,-197.16304,6.5e-07,-196.32520712735686,132.0,,0.01,tCASCSF,19.0,4.0,
AFQMC(MD),vdz,1,trail,Cu,-196.9747,0.0013,0.0,-196.96723,1.474e-06,-196.32402730647453,142.0,,0.01,tCASCSF,19.0,4.0,
AFQMC(MD),v5z,0,trail,Cu,-197.5754,0.002,0.0,-197.57608,1.068e-06,-196.5663811367177,149.0,,0.001,tCASCSF,12.0,1.0,
AFQMC(MD),vqz,0,trail,Cu,-197.5342,0.0016,0.0,-197.53642,1.98e-05,-196.5663491464669,237.0,,0.001,tCASCSF,12.0,1.0,
AFQMC(MD),vtz,0,trail,Cu,-197.4426,0.0017,0.0,-197.44464,4.59e-07,-196.56611793957046,158.0,,0.001,tCASCSF,12.0,1.0,
AFQMC(MD),vdz,0,trail,Cu,-197.2384,0.0014,0.0,-197.2369,1.152e-06,-196.56440183256336,100.0,,0.001,tCASCSF,12.0,1.0,
AFQMC(MD),v5z,1,trail,Fe,-123.4476,0.0014,0.0,-123.45183,3e-08,-122.805367259054,1.0,,0.001,tCASCSF,6.0,4.0,
AFQMC(MD),vqz,1,trail,Fe,-123.4244,0.0011,0.0,-123.42709,3.122e-06,-122.80506201856676,1.0,,0.001,tCASCSF,6.0,4.0,
AFQMC(MD),vtz,1,trail,Fe,-123.3641,0.001,0.0,-123.36857,5.41e-07,-122.80424852863449,1.0,,0.001,tCASCSF,6.0,4.0,
AFQMC(MD),vdz,1,trail,Fe,-123.2313,0.001,0.0,-123.23354,1.2e-07,-122.79860715251272,1.0,,0.001,tCASCSF,6.0,4.0,
AFQMC(MD),v5z,0,trail,Fe,-123.7377,0.0014,0.0,-123.7418,1.98e-07,-123.03901838784545,22.0,,0.001,tCASCSF,9.0,4.0,
AFQMC(MD),vqz,0,trail,Fe,-123.7146,0.0012,0.0,-123.71675,1.63e-05,-123.03893433543683,25.0,,0.001,tCASCSF,9.0,4.0,
AFQMC(MD),vtz,0,trail,Fe,-123.6531,0.0011,0.0,-123.6572,5.71e-07,-123.03857246947872,17.0,,0.001,tCASCSF,9.0,4.0,
AFQMC(MD),vdz,0,trail,Fe,-123.5145,0.0008,0.0,-123.51812,6.459999999999999e-07,-123.03606101031244,17.0,,0.001,tCASCSF,9.0,4.0,
AFQMC(MD),v5z,1,trail,Mn,-103.8632,0.0008,0.0,-103.86284,0.0,-103.29970385074444,1.0,,0.001,tCASCSF,9.0,4.0,
AFQMC(MD),vqz,1,trail,Mn,-103.844,0.0008,0.0,-103.84272,2.375e-06,-103.29943473113407,1.0,,0.001,tCASCSF,9.0,4.0,
AFQMC(MD),vtz,1,trail,Mn,-103.7916,0.0008,0.0,-103.79214,1.99e-07,-103.29880070636771,1.0,,0.001,tCASCSF,9.0,4.0,
AFQMC(MD),vdz,1,trail,Mn,-103.6744,0.0009,0.0,-103.67336,4.2e-08,-103.29335920887651,1.0,,0.001,tCASCSF,9.0,4.0,
AFQMC(MD),v5z,0,trail,Mn,-104.1362,0.0012,0.0,-104.13542,4.9e-08,-103.51775094214493,13.0,,0.001,tCASCSF,9.0,4.0,
AFQMC(MD),vdz,1,trail,Ti,-57.6309,0.0009,0.0,-57.63401999999999,1.1e-08,-57.31379021206569,17.0,,0.001,tCASCSF,10.0,4.0,
AFQMC(MD),v5z,0,trail,Ti,-57.9889,0.0009,0.0,-57.99386,0.0,-57.52335292738408,45.0,,0.001,tCASCSF,10.0,4.0,
AFQMC(MD),vqz,0,trail,Ti,-57.9796,0.0008,0.0,-57.983000000000004,2.24e-06,-57.52332478221496,41.0,,0.001,tCASCSF,10.0,4.0,
AFQMC(MD),vtz,0,trail,Ti,-57.9514,0.0006,0.0,-57.95463,3.67e-07,-57.522468837232104,40.0,,0.001,tCASCSF,10.0,4.0,
AFQMC(MD),vtz,0,trail,CuO,-213.3823,0.0012,0.0,-213.37778,1.664e-06,-212.24349945673225,569.0,,0.001,tCASSCF,12.0,5.0,
AFQMC(MD),vdz,0,trail,CuO,-213.1271,0.0011,0.0,-213.12303,3.599e-06,-212.238829673217,473.0,,0.001,tCASSCF,12.0,5.0,
AFQMC(MD),v5z,0,trail,FeO,-139.7344,0.0012,0.0,-139.7416819491,1e-05,-138.66875655750619,,,0.001,tCASSCF,12.0,5.0,
AFQMC(MD),vqz,0,trail,FeO,-139.7075,0.0013,0.0,-139.7113522,1e-05,-138.6685140260192,1282.0,,0.001,tCASSCF,12.0,5.0,
AFQMC(MD),vtz,0,trail,FeO,-139.6295,0.0013,0.0,-139.63546000000002,2e-05,-138.667246980313,1024.0,,0.001,tCASSCF,12.0,5.0,
AFQMC(MD),vdz,0,trail,FeO,-139.4296,0.001,0.0,-139.43599,5.4039999999999986e-06,-138.66009692442393,1608.0,,0.001,tCASSCF,12.0,5.0,
AFQMC(MD),v5z,0,trail,MnO,-120.1216,0.0013,0.0,-120.1223644293,1e-05,-119.14098759444364,166.0,,0.001,tCASCSF,12.0,2.0,
AFQMC(MD),vqz,0,trail,MnO,-120.0935,0.0016,0.0,-120.09707125940001,1e-05,-119.14081170666552,150.0,,0.001,tCASCSF,12.0,2.0,
AFQMC(MD),vtz,0,trail,MnO,-120.0287,0.0014,0.0,-120.02928,2e-05,-119.13957526878391,183.0,,0.001,tCASCSF,12.0,2.0,
AFQMC(MD),vdz,0,trail,MnO,-119.8515,0.0014,0.0,-119.85051,1e-05,-119.1332394993054,177.0,,0.001,tCASCSF,12.0,2.0,
AFQMC(MD),v5z,0,trail,CrO,-102.7961,0.0019,0.0,-102.8027368164,1e-05,-101.84668971203637,112.0,,0.001,tCASCSF,9.0,5.0,
AFQMC(MD),vqz,0,trail,CrO,-102.7731,0.0016,0.0,-102.779756,1e-05,-101.84627163418828,112.0,,0.001,tCASCSF,9.0,5.0,
AFQMC(MD),vtz,0,trail,CrO,-102.7139,0.0012,0.0,-102.71867,1.99e-05,-101.84420581490784,113.0,,0.001,tCASCSF,9.0,5.0,
