system,basis,CCSD
Cu_0.0,vtz,-197.41740370680068
Cr_0.0,vtz,-86.70659076775038
Cr_1.0,vtz,-86.4615517308287
Mn_0.0,vtz,-104.04778117933417
Mn_1.0,vtz,-103.78146526904207
Fe_0.0,vtz,-123.63925375399349
Fe_1.0,vtz,-123.35622693757796
Cu_1.0,vtz,-197.1421277693441
Cr_1.0,vqz,-86.50525415684963
O_1.0,vqz,-15.339802474778908
Sc_0.0,vqz,-46.4573768287099
Sc_1.0,vqz,-46.22134076672064
Ti_0.0,vqz,-57.96588569180175
Ti_1.0,vqz,-57.720794629913655
Cu_0.0,vqz,-197.5052619390659
V_0.0,vqz,-71.18778095431433
V_1.0,vqz,-70.94431928426559
Cr_0.0,vqz,-86.75091365432642
V_0.0,vtz,-71.15279224831197
O_0.0,vqz,-15.834743331725903
Ti_1.0,vtz,-57.69382220179495
Cu_1.0,vdz,-196.9574045591393
Sc_1.0,vtz,-46.20101314857256
Cu_0.0,v5z,-197.5436642703226
Fe_1.0,v5z,-123.4365011677346
Fe_0.0,v5z,-123.7202895244198
Mn_1.0,v5z,-103.84959934460872
Mn_0.0,v5z,-104.11650854784256
Cr_1.0,v5z,-86.522101589246
Cu_1.0,v5z,-197.26680808774643
Cr_0.0,v5z,-86.76784385163063
V_0.0,v5z,-71.2010143606209
Ti_1.0,v5z,-57.73091476184096
Ti_0.0,v5z,-57.97602472542808
Sc_1.0,v5z,-46.22894630104592
Sc_0.0,v5z,-46.4649768160275
O_1.0,v5z,-15.342397226918797
V_1.0,v5z,-70.9579715407137
O_0.0,vdz,-15.779080211623132
O_1.0,vdz,-15.299800503596158
Sc_0.0,vdz,-46.38595844384197
Sc_0.0,vtz,-46.43718489311391
O_1.0,vtz,-15.331593370228314
O_0.0,vtz,-15.82314937712888
Cu_0.0,vdz,-197.2222876167517
Fe_1.0,vdz,-123.22715350312636
Fe_0.0,vdz,-123.50779840651155
Mn_1.0,vdz,-103.66757407055952
Mn_0.0,vdz,-103.93261369236345
Cr_1.0,vdz,-86.3665613390929
Cr_0.0,vdz,-86.6046263052922
V_1.0,vdz,-70.8223077092011
V_0.0,vdz,-71.06739283571673
Ti_1.0,vdz,-57.62741179100748
Ti_0.0,vdz,-57.87237337860729
Sc_1.0,vdz,-46.14969669527632
Ti_0.0,vtz,-57.93908246335163
Mn_0.0,vqz,-104.09688340039624
V_1.0,vtz,-70.90803572594318
Fe_0.0,vqz,-123.69608273141208
ScO_0.0,vtz,-62.48949960887328
MnO_0.0,vdz,-119.8192051857518
O_0.0,v5z,-15.83868452648737
CuO_0.0,vtz,-213.33434944504288
CuO_0.0,v5z,-213.47798335200628
VO_0.0,v5z,-87.24932723550339
CrO_0.0,vqz,-102.72382559966084
TiO_0.0,vdz,-73.86695705529483
ScO_0.0,vqz,-62.52533293633869
CuO_0.0,vdz,-213.093983309176
Mn_1.0,vqz,-103.83019314612024
FeO_0.0,vqz,-139.65883285444852
ScO_0.0,v5z,-62.53779524630487
TiO_0.0,v5z,-74.041306678526
FeO_0.0,v5z,-139.6875997161323
MnO_0.0,vtz,-119.98595216372657
MnO_0.0,vqz,-120.04973103114573
VO_0.0,vqz,-87.2314938062568
VO_0.0,vdz,-87.0433251794816
FeO_0.0,vtz,-139.58713524288558
Cu_1.0,vqz,-197.22892381725345
CrO_0.0,v5z,-102.7448168934164
CrO_0.0,vdz,-102.51742471312912
TiO_0.0,vtz,-73.984570272526
ScO_0.0,vdz,-62.388040825363376
FeO_0.0,vdz,-139.40078257457623
Fe_1.0,vqz,-123.41257068133524
TiO_0.0,vqz,-74.0263944169137
CrO_0.0,vtz,-102.66627196382464
MnO_0.0,v5z,-120.0739650213693
