molecule_name,max_vertex_degree,min_vertex_degree,mean_vertex_degree,std_dev_vertex_degree,max_weight,min_weight,mean_weight,std_dev_weight,max_edge_order,min_edge_order,mean_edge_order,std_dev_edge_order,one_norm,number_of_terms,log_fci_dim,n_elec,n_orbs,df_gap,SHCI,CCSDT,error,solved
Mn0_vdz,109110,12932,88326.29629629629,27455.350372201712,11.783375970188056,1.2592315800505072e-08,0.007870615,0.1377499113896543,53,1,22.472449032476923,11.114749675554853,1787.6651034346244,212244,16.878987548857342,15,54,26.85306383039846,-103.94226,-103.9416472,0.000612831,TRUE
h_o_cl_cc-pVDZ,65667,12367,53620.08108108108,14285.99211546596,55.18379431142484,1.0008228648775333e-08,0.004614777,0.1739552268694371,37,1,16.872128721712436,7.595590006941744,682.4561777436072,117588,19.10350177326416,26,37,7.798821570708285,-535.2295951,-535.228188,0.001407148,TRUE
si_cc-pVDZ,1480,448,1204.7777777777778,308.9279951264364,36.50259153599243,7.585044143834078e-06,0.057972208,0.7164118529451241,17,1,7.894430287586458,3.778417855898823,239.4752188611511,2748,8.909729023693634,14,18,10.389894244216084,-288.9155256,-288.915055,0.000470616,TRUE
c_o_cc-pVDZ,17562,3430,14436.5,4176.929891849823,5.953899775008215,1.0995555757577088e-08,0.012236287,0.1158366712322044,28,1,12.95168215315604,5.486376289475006,383.1190404108916,31211,12.146732748499884,14,28,8.765653859502736,-113.0563805,-113.054881,0.00149948,TRUE
s_o2_cc-pVDZ,207000,23908,152862.69565217392,50112.09754178932,47.72923679562847,1.0016452787478164e-08,0.002133592,0.09078579,46,1,20.05173992021148,9.084774751564073,893.8818610909716,350678,23.992580048182308,32,46,8.452720997080256,-547.7175416,-547.71433,0.003211601,FALSE
h2_o_cc-pVDZ,21522,5538,17140.416666666668,4558.348896225718,5.770644029248467,1.0128441200847296e-08,0.010068406,0.1069167498289764,24,1,11.679348134688547,4.811265472628331,370.2981500191112,35223,9.256859605803362,10,24,11.156759425024967,-76.24166946,-76.241033,0.000636462,TRUE
be_h_cc-pVDZ,3719,1169,2932.894736842105,683.9108817549444,3.208282463053354,8.357754318905977e-08,0.023194694,0.1451942585091094,19,1,9.232107356,3.892011018372903,158.78493218591836,6037,5.219319887442919,5,19,4.710896484722052,-15.18843778,-15.188225,0.000212777,TRUE
c_h3_cc-pVDZ,40601,6479,33046.24137931035,9768.661891407266,4.294098729828302,1.0047826220997473e-08,0.006365779,0.081562669,29,1,13.20738413197172,5.502065627512875,500.2493797226083,72562,9.450333803654768,9,29,9.696427535769567,-39.71612796,-39.715603,0.000524961,TRUE
li_cc-pVDZ,478,184,390.7142857142857,90.93359317296849,1.396930700987741,6.682118122431122e-05,0.047185657,0.1631578177298045,13,1,6.071032186459489,2.862644311280061,49.73740869,902,3.105169427999332,3,14,2.9578642376656585,-7.43241988,-7.43242,1.2033699992031188e-07,TRUE
V0_vdz,109062,12916,88289.22222222222,27449.46674086812,11.11631747701769,1.025656675606915e-08,0.007649318,0.1404443868787556,53,1,22.473181331812377,11.116228001918223,1753.824411677223,212148,15.51725971283975,13,54,26.81226664958398,-71.07767,-71.07640367,0.001266332,TRUE
f2_cc-pVDZ,13300,2142,10310.42857142857,3185.214877575221,9.372387991423086,1.0439277932555694e-08,0.014635684,0.1580078102933434,28,1,12.519167389418907,5.436603513496348,362.95351782657656,23061,13.678566336433148,18,28,8.632150515964984,-199.0993684,-199.097478,0.00189037,FALSE
n_cc-pVDZ,478,184,390.7142857142857,90.93359317296849,4.4688274023928205,0.000404954,0.1182139174199708,0.3622210442765662,13,1,6.071032186459489,2.862644311280061,107.7801051338737,902,5.2605054654643935,7,14,8.738726558680506,-54.47855095,-54.478377,0.000173948,TRUE
Cr0_vdz,884836,69920,677694,212757.1116671482,13.810949649264709,1.0014954993863322e-08,0.00396891,0.082508792,75,1,33.38433038497986,15.23940721168148,6347.4562933574925,1542783,23.76711834292324,20,76,32.064810044232225,-86.61203,-86.6113265,0.000703502,TRUE
c_h2_singlet_cc-pVDZ,20896,5494,16804.5,4431.306776787182,3.741954495027902,1.1543963924263445e-08,0.009007053,0.094273843,24,1,11.56140350877193,4.705138588711381,340.1169252420825,34885,8.052739623147437,8,24,8.323336039929938,-39.0228972,-39.021988,0.000909203,TRUE
li_f_cc-pVDZ,17588,3440,14481.142857142857,4181.003995234071,8.942302690424533,1.3734777192115353e-08,0.009843859,0.1093804154646998,28,1,12.955204805418877,5.485465482446819,308.49474370256263,31299,11.152083466883983,12,28,12.148369611076856,-107.1555412,-107.154932,0.000609245,TRUE
O1_vdz,3164,894,2515.181818181818,657.9736549273932,6.0128965715673806,8.371578077452386e-05,0.075730496,0.354919796,21,1,9.380233937955586,4.548026575636364,491.4198558,5900,5.206637011283536,5,22,17.686288226645676,-15.30067,-15.30053761,0.000132395,TRUE
n2_h4_cc-pVDZ,495606,57348,381432.5,121416.15018913258,5.493099915154216,1.0000525379634438e-08,0.001234581,0.037578354,48,1,21.237249247772315,9.352271408,1117.030330371996,862107,18.44912136,18,48,8.943646824136726,-111.5710695,-111.569737,0.001332531,TRUE
si_h2_singlet_cc-pVDZ,37500,7178,28593.14285714286,8243.855814719078,35.76342722700587,1.0025356857604831e-08,0.005123282,0.1546296231875451,28,1,13.270479031990718,5.544408549,374.7804319,60331,12.984991363983836,16,28,9.52852359,-290.1380216,-290.137309,0.000712608,TRUE
Ti1_vdz,109064,12924,88297.48148148147,27446.77771328084,10.431710603591108,1.0020082987635876e-08,0.006652181,0.1244809006480188,53,1,22.47274132657149,11.114977845699524,1537.4887205977984,212172,13.748251841895977,11,54,22.393749029528152,-57.63402,-57.63343612,0.000583882,TRUE
Ti0_vdz,884628,69920,677594.6842105263,212707.7776668096,12.984693668335206,1.0020082987656203e-08,0.00392478,0.080742532,75,1,33.38601652665386,15.240382363347994,6289.024763,1542479,22.25523498194436,18,76,31.566288944413287,-57.88305,-57.88171776,0.001332239,TRUE
c2_h6_cc-pVDZ,855794,72594,663499.2068965518,220837.3033793289,5.748069282529914,1.0000758614981373e-08,0.001031331,0.034272042,58,1,24.99095965581622,11.336163736610713,1684.708320954516,1539876,20.05460737270318,18,58,10.208784880573107,-79.58310216,-79.581898,0.001204161,TRUE
h2_s_cc-pVDZ,38690,8298,29340.35714285714,8047.396101553975,48.06402570014292,1.0093211533408582e-08,0.005977251,0.204254548,28,1,13.482292316276627,5.643438650320864,465.6686752646157,60935,13.678566336433148,18,28,12.240058133538522,-398.8655196,-398.864845,0.000674566,TRUE
